material_id,name,density_kg_m3,elastic_modulus_pa,poissons_ratio,specific_heat_j_kg_k,conductivity_w_m_k,inelastic_heat_fraction,ref_temp_k,melt_temp_k,jc_a_pa,jc_b_pa,jc_n,jc_c,jc_m,ref_strain_rate_s1,declared_condition,jc_vector_status,jc_source,jc_locator,thermophysical_status,material_scope,kg_canonical_name,kg_mapping_type
Al6061,Aluminum 6061-T6,2700.0,68.9e9,0.33,896.0,167.0,0.9,298.0,925.0,324.1e6,113.8e6,0.42,0.002,1.34,1.0,6061-T6,exact_vector_recovered,"Johnson GR and Holmquist TJ (1989), Test Data and Computational Strength and Fracture Model Constants for 23 Materials Subjected to Large Strains, High Strain Rates, and High Temperatures, LA-11463-MS",reported vector A=324.1 MPa; B=113.8 MPa; n=0.42; C=0.002; m=1.34,workspace_values_not_traced_property_by_property,PRIMARY_WITH_PROVENANCE_CAVEAT,Al-6061,EXACT_CANONICAL
Cu,OFHC Copper,8960.0,124.0e9,0.34,385.0,386.0,0.9,298.0,1356.0,90.0e6,292.0e6,0.31,0.025,1.09,1.0,annealed_or_unspecified_OFHC,exact_vector_recovered,"Johnson GR and Cook WH (1983), Proc. 7th International Symposium on Ballistics; Johnson and Cook calibration reproduced in later evaluations",A=90 MPa; B=292 MPa; n=0.31; C=0.025; m=1.09; Tm=1356 K,partially_consistent_with_source_but_not_traced_property_by_property,PRIMARY_WITH_PROVENANCE_CAVEAT,Cu,EXACT_CANONICAL
SS316L,Stainless Steel 316L,8000.0,193.0e9,0.30,500.0,16.3,0.9,298.0,1673.0,305.0e6,1161.0e6,0.61,0.01,0.517,1.0,condition_not_recorded,exact_vector_recovered_secondary_compilation,"Karkalos NE and Markopoulos AP (2018), Procedia Manufacturing 22:107-113, doi:10.1016/j.promfg.2018.03.017",Table 2 vector A=305 MPa; B=1161 MPa; C=0.010; n=0.610; m=0.517; reference strain rate 1 s-1,workspace_values_not_traced_property_by_property,PRIMARY_WITH_PROVENANCE_CAVEAT,SS316L,EXACT_CANONICAL
Ti6Al4V,Titanium Ti-6Al-4V,4430.0,113.8e9,0.342,526.0,6.7,0.9,298.0,1928.0,1098.0e6,1092.0e6,0.93,0.014,1.1,1.0,condition_not_recorded,exact_vector_recovered,"Seo S; Min O; Yang H (2005), International Journal of Impact Engineering 31:735-754, doi:10.1016/j.ijimpeng.2004.04.010",configured vector A=1098 MPa; B=1092 MPa; n=0.93; C=0.014; m=1.1; the literature contains multiple competing Ti-6Al-4V calibrations,workspace_values_not_traced_property_by_property,PRIMARY_WITH_PROVENANCE_CAVEAT,Ti-6Al-4V,EXACT_CANONICAL
Inconel718,Nickel-Base Inconel 718,8190.0,205.0e9,0.30,435.0,11.4,0.9,298.0,1609.0,1241.0e6,622.0e6,0.6522,0.0134,1.3,1.0,aged_state_not_recorded,exact_vector_recovered_secondary_compilation,"Zha J; Yuan Z; Zhang H; Li Y; Chen Y (2020), Nickel-Based Alloy Dry Milling Process Induced Material Softening Effect, Materials 13:3758, doi:10.3390/ma13173758",Table 5: A=1241 MPa; B=622 MPa; C=0.0134; n=0.6522; m=1.3; reference strain rate 1 s-1; table attributes vector to Chen et al.,workspace_values_not_traced_property_by_property,PRIMARY_WITH_PROVENANCE_CAVEAT,IN718,EXACT_CANONICAL
Nickel200,Pure Nickel 200,8890.0,207.0e9,0.31,444.0,90.7,0.9,298.0,1726.0,163.0e6,648.0e6,0.33,0.006,1.44,1.0,condition_not_recorded,exact_vector_recovered,"Johnson GR and Cook WH (1983), Proc. 7th International Symposium on Ballistics",A=163 MPa; B=648 MPa; n=0.33; C=0.006; m=1.44; Tm=1726 K,partially_consistent_with_source_but_not_traced_property_by_property,PRIMARY_WITH_PROVENANCE_CAVEAT,Ni-pure,SAME_BASE_MATERIAL_DIFFERENT_GRADE
SS304,Stainless Steel 304,7900.0,200.0e9,0.29,500.0,16.2,0.9,298.0,1700.0,310.0e6,1000.0e6,0.65,0.07,1.0,1.0,annealed_304_SS,exact_vector_recovered,"Lee S; Barthelat F; Hutchinson JW; Espinosa HD (2006), International Journal of Plasticity 22:2118-2145, doi:10.1016/j.ijplas.2006.02.006",Table 1: A=310 MPa; B=1000 MPa; n=0.65; C=0.07; m=1.0; reference strain rate 1 s-1,workspace_values_not_traced_property_by_property,PRIMARY_WITH_PROVENANCE_CAVEAT,SS304,EXACT_CANONICAL
Al7075,Aluminum 7075-T6,2810.0,71.7e9,0.33,960.0,130.0,0.9,298.0,908.0,520.0e6,477.0e6,0.52,0.012,1.0,1.0,7075-T6,exact_source_not_recovered,No exact source recovered for configured A=520 MPa; B=477 MPa; n=0.52; C=0.012; m=1.0,nearest located literature used a different C value,workspace_values_not_traced_property_by_property,EXPLORATORY_ONLY,Al-7075,EXACT_CANONICAL
CP_Ti,Commercially Pure Ti,4510.0,105.0e9,0.34,523.0,21.9,0.9,298.0,1941.0,280.0e6,540.0e6,0.45,0.024,0.68,1.0,grade_and_condition_not_recorded,exact_source_not_recovered,No exact source recovered for configured A=280 MPa; B=540 MPa; n=0.45; C=0.024; m=0.68,source_locator_unavailable,workspace_values_not_traced_property_by_property,EXPLORATORY_ONLY,CP-Ti,GRADE_OR_CONDITION_UNSPECIFIED
AISI4140,Low Alloy Steel 4140 Q&T,7850.0,210.0e9,0.29,473.0,42.6,0.9,298.0,1793.0,1450.0e6,580.0e6,0.23,0.015,1.0,1.0,quenched_and_tempered_state_not_recorded,exact_source_not_recovered,No exact source recovered for configured A=1450 MPa; B=580 MPa; n=0.23; C=0.015; m=1.0,located AISI 4140 calibrations use materially different B n and C values,workspace_values_not_traced_property_by_property,EXPLORATORY_ONLY,carbon-steel,BROADER_MATERIAL_CLASS
