production_case_id,source_case_id,particle_material,substrate_material,pair,impact_velocity_m_s,velocity_level_index,qualified_velocity_min_m_s,qualified_velocity_max_m_s,solve_reuse,case_gate_decision,ml_candidate,constitutive_review_flags,terminal_particle_volume_weighted_velocity_m_s,terminal_velocity_class,particle_axial_flattening_percent,normalized_crater_depth,particle_peeqvavg_p95,particle_peeqvavg_max,substrate_peeq_p95,substrate_peeq_max,maximum_peeq,particle_temperature_p95_k,particle_temperature_max_k,substrate_temperature_p95_k,substrate_temperature_max_k,particle_temperature_max_over_melt,substrate_temperature_max_over_melt,maximum_temperature_over_melt,peak_contact_pressure_pa,initial_kinetic_energy_j,final_allae_over_allie,eulerian_allae_over_allie,substrate_allae_over_allie,etotal_drift_over_initial_ke,final_over_initial_particle_material_volume,particle_material_volume_relative_change_abs,endpoint_over_first_boundary_return,terminal_time_s,frame_count,odb_file
MMCELP4_AL6061_SS304_V00,MMCELP3_AL6061_SS304_LOW_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,500.0,0,500.0,725.0,True,PASS_CEL_P4_CASE,True,,18.043974421140515,REBOUND,45.920668854891936,0.024273874714708654,1.668180227279663,1.7134981155395508,0.004686838015913963,0.18768693506717682,1.7134981155395508,538.6525268554688,573.2646484375,298.6788635253906,346.1105651855469,0.6197455658783784,0.20359445010914523,0.6197455658783784,4404755456.0,6.905853524585837e-07,0.03590390860454508,0.03810277429681367,0.008793546615972229,0.00954991338314742,1.0012090316133684,0.0012090316133683832,0.6143839293152475,7.999999951380232e-08,41,jobs/verification/CEL_P3/MMCELP3_AL6061_SS304_LOW_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_AL6061_SS304_V01,MMCELP4_AL6061_SS304_V01_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,522.5,1,500.0,725.0,False,PASS_CEL_P4_CASE,True,,21.591865991018583,REBOUND,50.10490815246885,0.02663236500666244,1.7879618406295776,1.8270968198776245,0.005771396216005087,0.20227327942848206,1.8270968198776245,550.207275390625,581.5857543945312,298.8480529785156,350.8030090332031,0.628741356102196,0.20635471119600185,0.628741356102196,4573826560.0,7.541364652752236e-07,0.036296548610287256,0.03878299031383051,0.008084527277615241,0.010118106636594855,1.001565172598452,0.0015651725984520137,0.6143839293152475,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_AL6061_SS304_V01_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_AL6061_SS304_V02,MMCELP4_AL6061_SS304_V02_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,545.0,2,500.0,725.0,False,PASS_CEL_P4_CASE,True,,26.525303023965247,REBOUND,53.78097508895565,0.02951706846943125,1.8031163215637207,1.9490958452224731,0.0069258143194019794,0.22091710567474365,1.9490958452224731,561.9680786132812,587.7904663085938,299.034423828125,357.0417175292969,0.6354491527660473,0.2100245397231158,0.6354491527660473,4463964160.0,8.204844448300719e-07,0.0369046712378017,0.03972154240243578,0.007394417225416797,0.0106103491623837,1.000992534811372,0.000992534811371959,0.6143839293152475,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_AL6061_SS304_V02_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_AL6061_SS304_V03,MMCELP4_AL6061_SS304_V03_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,567.5,3,500.0,725.0,False,PASS_CEL_P4_CASE,True,,32.4137395448175,REBOUND,57.499741600714984,0.031680046959081665,1.6531122922897339,1.9172301292419434,0.008199622854590416,0.24284115433692932,1.9172301292419434,566.1370849609375,580.0794677734375,299.2403259277344,364.5654602050781,0.6271129381334459,0.2144502707088695,0.6271129381334459,4873634816.0,8.896292911231285e-07,0.03727909866357484,0.04042843184669387,0.006753394366596848,0.011108701536127481,1.0006398311429998,0.0006398311429998138,0.6143839293152475,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_AL6061_SS304_V03_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_AL6061_SS304_V04,MMCELP4_AL6061_SS304_V04_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,590.0,4,500.0,725.0,False,PASS_CEL_P4_CASE,True,,38.05064691090263,REBOUND,61.24506574612736,0.034450238217687,1.7630763053894043,1.8986313343048096,0.009526723995804787,0.26078659296035767,1.8986313343048096,556.4984741210938,584.3697509765625,299.4627990722656,370.8575134277344,0.6317510821368243,0.21815147848690258,0.6317510821368243,5088556032.0,9.615710041543934e-07,0.03802221234768261,0.041547735570325366,0.006228317888808882,0.011654966595208267,1.0005643421367054,0.0005643421367054202,0.6143839293152475,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_AL6061_SS304_V04_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_AL6061_SS304_V05,MMCELP4_AL6061_SS304_V05_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,612.5,5,500.0,725.0,False,PASS_CEL_P4_CASE,True,,42.47747075793358,REBOUND,64.34410045167118,0.037825541312486166,1.8607378005981445,1.893905520439148,0.011160856112837791,0.27757298946380615,1.893905520439148,561.0361938476562,590.1805419921875,299.73095703125,376.88214111328125,0.6380330183699324,0.22169537712545956,0.6380330183699324,5760931840.0,1.0363096407672856e-06,0.038788942116315825,0.04272287467720445,0.005850964342382058,0.012135076654252614,1.0010364731612509,0.0010364731612508837,0.6143839293152475,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_AL6061_SS304_V05_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_AL6061_SS304_V06,MMCELP4_AL6061_SS304_V06_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,635.0,6,500.0,725.0,False,PASS_CEL_P4_CASE,True,,44.56743548437754,REBOUND,66.81030585142365,0.04109926521778107,1.9218974113464355,1.9462480545043945,0.012812982313334942,0.29566124081611633,1.9462480545043945,567.2047119140625,596.7991943359375,300.0112609863281,383.44488525390625,0.6451883182010135,0.22555581485523898,0.6451883182010135,6028742656.0,1.1138450872749672e-06,0.039558502371825635,0.043891332869391515,0.005701188479711465,0.012607623282913932,1.0017391737580323,0.0017391737580323419,0.6143839293152475,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_AL6061_SS304_V06_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_AL6061_SS304_V07,MMCELP4_AL6061_SS304_V07_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,657.5,7,500.0,725.0,False,PASS_CEL_P4_CASE,True,,43.51825159373853,REBOUND,68.99199382474796,0.04340738541941391,1.939573884010315,2.034518003463745,0.014527679421007633,0.32238250970840454,2.034518003463745,576.2318725585938,602.6187744140625,300.3103942871094,393.27911376953125,0.6514797561233108,0.2313406551585478,0.6514797561233108,6811379200.0,1.194177457364276e-06,0.04019473689621134,0.04494125246785107,0.005292381950304325,0.01316391243949027,1.0023844395634833,0.0023844395634833315,0.6143839293152475,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_AL6061_SS304_V07_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_AL6061_SS304_V08,MMCELP4_AL6061_SS304_V08_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,680.0,8,500.0,725.0,False,PASS_CEL_P4_CASE,True,,40.174056093495324,REBOUND,71.01435262335012,0.047226531023625284,1.9300637245178223,2.191009998321533,0.01644693873822689,0.33808183670043945,2.191009998321533,593.1074829101562,613.158935546875,300.65576171875,399.4102478027344,0.6628745249155406,0.23494720458984375,0.6628745249155406,7541570560.0,1.2773066373483744e-06,0.0409604216379731,0.046155872107294146,0.00515448446803434,0.013803982943769767,1.0025199169127768,0.002519916912776754,0.6143839293152475,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_AL6061_SS304_V08_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_AL6061_SS304_V09,MMCELP4_AL6061_SS304_V09_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,702.5,9,500.0,725.0,False,PASS_CEL_P4_CASE,True,,35.874474877651444,REBOUND,72.91980821485562,0.05059017439634772,1.9907753467559814,2.3151023387908936,0.018557535484433174,0.3551936447620392,2.3151023387908936,603.5105590820312,633.0687255859375,301.0162048339844,406.0269775390625,0.6843986222550675,0.2388393985523897,0.6843986222550675,7978577408.0,1.3632327409140998e-06,0.04183754213248403,0.04751207513162762,0.005063373795253556,0.014456862335317747,1.001477719725434,0.0014777197254340901,0.6143839293152475,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_AL6061_SS304_V09_EPD24_T080_DOM15_EBOT15.odb
