production_case_id,pair,impact_velocity_m_s,constitutive_review_flags,final_allae_over_allie,etotal_drift_over_initial_ke,particle_material_volume_relative_change_abs,endpoint_over_first_boundary_return,maximum_temperature_over_melt
MMCELP4_AL6061_SS304_V00,Al6061->SS304,500.0,,0.035903908604545,0.0095499133831474,0.0012090316133683,0.6143839293152475,0.6197455658783784
MMCELP4_AL6061_SS304_V01,Al6061->SS304,522.5,,0.0362965486102872,0.0101181066365948,0.001565172598452,0.6143839293152475,0.628741356102196
MMCELP4_AL6061_SS304_V02,Al6061->SS304,545.0,,0.0369046712378017,0.0106103491623837,0.0009925348113719,0.6143839293152475,0.6354491527660473
MMCELP4_AL6061_SS304_V03,Al6061->SS304,567.5,,0.0372790986635748,0.0111087015361274,0.0006398311429998,0.6143839293152475,0.6271129381334459
MMCELP4_AL6061_SS304_V04,Al6061->SS304,590.0,,0.0380222123476826,0.0116549665952082,0.0005643421367054,0.6143839293152475,0.6317510821368243
MMCELP4_AL6061_SS304_V05,Al6061->SS304,612.5,,0.0387889421163158,0.0121350766542526,0.0010364731612508,0.6143839293152475,0.6380330183699324
MMCELP4_AL6061_SS304_V06,Al6061->SS304,635.0,,0.0395585023718256,0.0126076232829139,0.0017391737580323,0.6143839293152475,0.6451883182010135
MMCELP4_AL6061_SS304_V07,Al6061->SS304,657.5,,0.0401947368962113,0.0131639124394902,0.0023844395634833,0.6143839293152475,0.6514797561233108
MMCELP4_AL6061_SS304_V08,Al6061->SS304,680.0,,0.0409604216379731,0.0138039829437697,0.0025199169127767,0.6143839293152475,0.6628745249155406
MMCELP4_AL6061_SS304_V09,Al6061->SS304,702.5,,0.041837542132484,0.0144568623353177,0.001477719725434,0.6143839293152475,0.6843986222550675
MMCELP4_AL6061_SS304_V10,Al6061->SS304,725.0,,0.0431093145077469,0.0152989417013786,0.0007087651923975,0.6143839293152475,0.6933205104518582
MMCELP4_CU_CU_V00,Cu->Cu,300.0,,0.0291459799895472,0.0022019593366135,0.0002792200165597,0.4923003427517237,0.3620632700512191
MMCELP4_CU_CU_V01,Cu->Cu,355.0,,0.0312019144494623,0.0030179870770163,0.0003767333319881,0.4923003427517237,0.4214211072893621
MMCELP4_CU_CU_V02,Cu->Cu,410.0,,0.032951729321922,0.0039158608929095,0.0003439456200571,0.4923003427517237,0.4695813564424317
MMCELP4_CU_CU_V03,Cu->Cu,465.0,,0.0357046161218991,0.0049023752131797,0.0002039026919431,0.4923003427517237,0.5063250606390579
MMCELP4_CU_CU_V04,Cu->Cu,520.0,,0.038565215175934,0.0062528745922825,0.0002658924595202,0.4923003427517237,0.5428302956190081
MMCELP4_CU_CU_V05,Cu->Cu,575.0,,0.0411509391139417,0.0072916672136948,0.0004137044798568,0.4923003427517237,0.5750640599073562
MMCELP4_CU_CU_V06,Cu->Cu,630.0,,0.0431452696319517,0.0080752096388565,0.0007597753249823,0.4923003427517237,0.5931194384189482
MMCELP4_CU_CU_V07,Cu->Cu,685.0,,0.0455142835519857,0.0087369078535328,0.0007556225000153,0.4923003427517237,0.6084878747090477
MMCELP4_CU_CU_V08,Cu->Cu,740.0,,0.0472457506117362,0.0094472851273723,0.0007206760907689,0.4923003427517237,0.626595646230872
MMCELP4_CU_CU_V09,Cu->Cu,795.0,,0.0481064818087374,0.0100914596911449,0.0006317821193277,0.4923003427517237,0.6454541141656296
MMCELP4_CU_CU_V10,Cu->Cu,850.0,,0.0494743212202752,0.0105709939270632,0.0004599943033585,0.4923003427517237,0.6646549371139842
MMCELP4_INCONEL718_TI6AL4V_V00,Inconel718->Ti6Al4V,500.0,,0.0116551940858815,7.598025381746504e-07,0.0004776769389127,0.6734279485205487,0.3863946431899961
MMCELP4_INCONEL718_TI6AL4V_V01,Inconel718->Ti6Al4V,565.0,,0.0125756146558396,0.000134818352671,0.0005747456283523,0.6734279485205487,0.4950790405273437
MMCELP4_INCONEL718_TI6AL4V_V02,Inconel718->Ti6Al4V,630.0,,0.0126374892239565,0.0004454264717464,0.0003920342923333,0.6734279485205487,0.668491600954681
