production_case_id,pair,impact_velocity_m_s,terminal_particle_volume_weighted_velocity_m_s,particle_axial_flattening_percent,normalized_crater_depth,maximum_temperature_over_melt
MMCELP4_AL6061_SS304_V00,Al6061->SS304,500.0,18.043974421140515,45.920668854891936,0.0242738747147086,0.6197455658783784
MMCELP4_AL6061_SS304_V01,Al6061->SS304,522.5,21.591865991018583,50.10490815246885,0.0266323650066624,0.628741356102196
MMCELP4_AL6061_SS304_V02,Al6061->SS304,545.0,26.525303023965247,53.78097508895565,0.0295170684694312,0.6354491527660473
MMCELP4_AL6061_SS304_V03,Al6061->SS304,567.5,32.4137395448175,57.49974160071498,0.0316800469590816,0.6271129381334459
MMCELP4_AL6061_SS304_V04,Al6061->SS304,590.0,38.05064691090263,61.24506574612736,0.034450238217687,0.6317510821368243
MMCELP4_AL6061_SS304_V05,Al6061->SS304,612.5,42.47747075793358,64.34410045167118,0.0378255413124861,0.6380330183699324
MMCELP4_AL6061_SS304_V06,Al6061->SS304,635.0,44.56743548437754,66.81030585142365,0.041099265217781,0.6451883182010135
MMCELP4_AL6061_SS304_V07,Al6061->SS304,657.5,43.51825159373853,68.99199382474796,0.0434073854194139,0.6514797561233108
MMCELP4_AL6061_SS304_V08,Al6061->SS304,680.0,40.17405609349533,71.01435262335012,0.0472265310236252,0.6628745249155406
MMCELP4_AL6061_SS304_V09,Al6061->SS304,702.5,35.874474877651444,72.91980821485562,0.0505901743963477,0.6843986222550675
MMCELP4_AL6061_SS304_V10,Al6061->SS304,725.0,31.444728681368595,74.430824804356,0.0537305686520994,0.6933205104518582
MMCELP4_CU_CU_V00,Cu->Cu,300.0,23.451065782531632,30.97533646372405,0.1769557820807676,0.3620632700512191
MMCELP4_CU_CU_V01,Cu->Cu,355.0,27.812176390067144,34.41923506462904,0.2277456769661512,0.4214211072893621
MMCELP4_CU_CU_V02,Cu->Cu,410.0,29.120214472964573,37.73277714641386,0.2820364170474931,0.4695813564424317
MMCELP4_CU_CU_V03,Cu->Cu,465.0,30.943849284549174,40.681998957091935,0.3381293208803981,0.5063250606390579
MMCELP4_CU_CU_V04,Cu->Cu,520.0,33.49750956958791,42.096496734127015,0.3949583697249181,0.5428302956190081
MMCELP4_CU_CU_V05,Cu->Cu,575.0,35.87791412256284,41.43419130487329,0.4523328607319854,0.5750640599073562
MMCELP4_CU_CU_V06,Cu->Cu,630.0,37.84728553709725,38.59387581953518,0.5100997441331856,0.5931194384189482
MMCELP4_CU_CU_V07,Cu->Cu,685.0,39.07568426236323,34.334759829016825,0.5688592500519007,0.6084878747090477
MMCELP4_CU_CU_V08,Cu->Cu,740.0,40.81829240866014,29.61384330404108,0.6292339821811765,0.626595646230872
MMCELP4_CU_CU_V09,Cu->Cu,795.0,41.39951039581093,25.415885007325752,0.6893528916407377,0.6454541141656296
MMCELP4_CU_CU_V10,Cu->Cu,850.0,40.65857247172016,22.011275135291985,0.7496530452044681,0.6646549371139842
MMCELP4_INCONEL718_TI6AL4V_V00,Inconel718->Ti6Al4V,500.0,90.86814415582845,20.313833565569617,0.1427842471457552,0.3863946431899961
MMCELP4_INCONEL718_TI6AL4V_V01,Inconel718->Ti6Al4V,565.0,109.5983702402537,22.206872388233226,0.1710305878077633,0.4950790405273437
MMCELP4_INCONEL718_TI6AL4V_V02,Inconel718->Ti6Al4V,630.0,128.2459746782076,23.25385311384998,0.2016117832681629,0.668491600954681
MMCELP4_INCONEL718_TI6AL4V_V03,Inconel718->Ti6Al4V,695.0,144.67032688755506,23.81344984629612,0.2348593443457503,0.8192379266889264
MMCELP4_INCONEL718_TI6AL4V_V04,Inconel718->Ti6Al4V,760.0,159.13038300074746,24.394237778143182,0.2725175909290556,0.9153242309063796
MMCELP4_INCONEL718_TI6AL4V_V05,Inconel718->Ti6Al4V,825.0,172.07365212842308,25.54410243478586,0.3120392284472473,0.9565745626742416
MMCELP4_INCONEL718_TI6AL4V_V06,Inconel718->Ti6Al4V,890.0,181.9397083564696,27.24169049305159,0.3522172119119204,0.9780607104796096
MMCELP4_INCONEL718_TI6AL4V_V07,Inconel718->Ti6Al4V,955.0,193.4685014373763,28.959277781567938,0.3923467374988831,0.9941254928398924
MMCELP4_INCONEL718_TI6AL4V_V08,Inconel718->Ti6Al4V,1020.0,202.48943781615736,30.89819686722632,0.4314097895985469,0.996362203384336
MMCELP4_INCONEL718_TI6AL4V_V09,Inconel718->Ti6Al4V,1085.0,210.670040623692,32.61029667907848,0.4715891918749548,0.9973411718344788
MMCELP4_INCONEL718_TI6AL4V_V10,Inconel718->Ti6Al4V,1150.0,216.35016608831003,34.31058000296023,0.5093639265396632,0.999966000125616
MMCELP4_TI6AL4V_TI6AL4V_V00,Ti6Al4V->Ti6Al4V,500.0,85.29434884584396,17.04523574545537,0.0724238134353072,0.343963053216578
MMCELP4_TI6AL4V_TI6AL4V_V01,Ti6Al4V->Ti6Al4V,565.0,90.67398857115738,20.14153517025823,0.0856950555316871,0.3752000420914646
MMCELP4_TI6AL4V_TI6AL4V_V02,Ti6Al4V->Ti6Al4V,630.0,97.08379274250284,22.922535011629986,0.1017550857795868,0.4047615399499157
MMCELP4_TI6AL4V_TI6AL4V_V03,Ti6Al4V->Ti6Al4V,695.0,107.24120577246474,25.242919957946413,0.1193444131786236,0.4669040664103021
MMCELP4_TI6AL4V_TI6AL4V_V04,Ti6Al4V->Ti6Al4V,760.0,122.44707273115505,27.00444640128679,0.1378610886604292,0.5571254872682183
MMCELP4_TI6AL4V_TI6AL4V_V05,Ti6Al4V->Ti6Al4V,825.0,141.05559194135768,28.47290050536442,0.1568954212416429,0.6763922347072744
MMCELP4_TI6AL4V_TI6AL4V_V06,Ti6Al4V->Ti6Al4V,890.0,157.18767782435762,29.938133373791583,0.1774288284650538,0.7916679540610412
MMCELP4_TI6AL4V_TI6AL4V_V07,Ti6Al4V->Ti6Al4V,955.0,170.2306314446482,31.48063364187899,0.196910259546712,0.8784742553204422
MMCELP4_TI6AL4V_TI6AL4V_V08,Ti6Al4V->Ti6Al4V,1020.0,182.6187318186088,33.117244925027926,0.2188415237469598,0.9158430297345048
MMCELP4_TI6AL4V_TI6AL4V_V09,Ti6Al4V->Ti6Al4V,1085.0,190.40004138669616,34.80175800244122,0.2408290492894593,0.9347415148469918
MMCELP4_TI6AL4V_TI6AL4V_V10,Ti6Al4V->Ti6Al4V,1150.0,200.1962698268956,36.517377642737,0.264530553977238,0.9561017301567364
